item_id,item_name,price,amount,url
242870,Roma Tomato,$4.99,3lbs,https://www.bjs.com/product/roma-tomatoes-3-lbs/3000000000000217919
159450,Cello Carrot,$3.99,5lbs,https://www.bjs.com/product/cello-carrots-5-lbs/3000000000000215445
985451,Ground Beef,$15.49,3lbs,https://www.bjs.com/product/good-nature-85-ground-beef--3-lbs/3000000000001822361
981061,Pork Tender Loin,$9.45,4.75lbs,https://www.bjs.com/product/wellsley-farms-boneless-fresh-pork-loin-chops--475-55-lb/3000000000000205285
981833,Chicken Breast,$17.27,5.25lbs,https://www.bjs.com/product/wellsley-farms-no-antibiotics-ever-boneless-skinless-chicken-breast-525-75-lbs/3000000000000848594
32662,Broccoli,$3.59,2lbs,https://www.bjs.com/product/broccoli-florets-2-lbs/3000000000002489747
71303,Spinach,$4.29,16oz,https://www.bjs.com/product/wellsley-farms-organic-baby-spinach-16-oz/3000000000000553604
60745,Idaho Potatoes,$3.29,5lbs,https://www.bjs.com/product/wellsley-farms-idaho-potatoes-5-lbs/3000000000000483628
60748,Russet Potatoes,$5.99,10lbs,https://www.bjs.com/product/wellsley-farms-russet-potatoes-10-lbs/3000000000000483634
60749,Yellow Potatoes,$6.99,10lbs,https://www.bjs.com/product/wellsley-farms-yellow-potatoes-10-lbs/3000000000000483636
60746,Red Potatoes,$6.99,10lbs,https://www.bjs.com/product/wellsley-farms-red-potatoes-10-lbs/3000000000000483630
187124,Cucumbers,$2.59,14oz,https://www.bjs.com/product/wellsley-farms-mini-cucumbers-8-ct/3000000000001376255
97651,Green Bell Peppers,$3.89,26oz,https://www.bjs.com/product/wellsley-farms-green-bell-peppers-4-ct/3000000000000876666
18630,Yellow Onions,$2.49,3lbs,https://www.bjs.com/product/wellsley-farms-yellow-onions-3-lbs/3000000000000151843
18632,Red Onions,$2.99,3lbs,https://www.bjs.com/product/wellsley-farms-red-onions-3-lbs/3000000000000152011
25742,Sliced Turkey Breast,$11.79,9oz,https://www.bjs.com/product/oscar-mayer-deli-fresh-oven-roasted-turkey-breast-sliced-lunch-meat-3-pk9-oz/3000000000000163897
32730,Sockeye Salmon,$21.79,2lbs,https://www.bjs.com/product/wellsley-farms-wild-caught-sockeye-salmon-2-lbs/3000000000000183165
34049,Atlantic Salmon,$19.99,2lbs,https://www.bjs.com/product/wellsley-farms-farm-raised-atlantic-salmon-2-lbs/3000000000000268593
32726,Ahi Tuna,$15.99,2lbs,https://www.bjs.com/product/wellsley-farms-wild-caught-ahi-tuna-steaks-2-lbs/3000000000000183143
23931,Tuna in can,$12.99,5oz,https://www.bjs.com/product/bumble-bee-solid-white-albacore-tuna-in-water-8-pk5-oz/3000000000000163059
32725,Pacific Cod,$19.99,2lbs,https://www.bjs.com/product/wellsley-farms-wild-caught-pacific-cod-2-lbs/3000000000000183141
29711,Crab Meat,$28.99,16oz,https://www.bjs.com/product/chicken-of-the-sea-lump-crab-meat-16-oz/3000000000000187663
32719,Extra Jumbo Shrimp,$10.99,1.5lbs,https://www.bjs.com/product/wellsley-farms-extra-jumbo-uncooked-shrimp-15-lbs/3000000000000183103
32720,Extra Large Shrimp,$11.49,2lbs,https://www.bjs.com/product/wellsley-farms-extra-large-uncooked-shrimp-2-lbs/3000000000000183111
32724,Colossal Shrimp,$15.99,1.5lbs,https://www.bjs.com/product/wellsley-farms-colossal-uncooked-shrimp-15-lbs/3000000000000183133
92670,Sliced Sharp Cheddar Cheese,$8.29,2lbs,https://www.bjs.com/product/wellsley-farms-sliced-sharp-cheddar-cheese-2-lbs/3000000000000822594
32553,Sliced Mozzarella Cheese,$9.99,8oz,https://www.bjs.com/product/belgioioso-fresh-sliced-mozzarella-cheese-4-pk8-oz/3000000000000199675
25275,Sliced Swiss Cheese,$8.29,32oz,https://www.bjs.com/product/wellsley-farms-sliced-swiss-cheese-32-oz/3000000000000167097
99001,Unsalted Butter,$14.99,1lb,https://www.bjs.com/product/wellsley-farms-unsalted-butter-quarters-4-ct1-lb/3000000000000215233
88999,Salted Butter ,$14.99,1lb,https://www.bjs.com/product/wellsley-farms-salted-butter-quarters-4-ct1-lb/3000000000000215221
21431,Eggs,$5.29,2lbs,https://www.bjs.com/product/wellsley-farms-extra-large-white-eggs-2-pk18-ct/3000000000000158733
14109,White rice,$8.99,72oz,https://www.bjs.com/product/minute-rice-instant-enriched-long-grain-white-rice-72-oz/3000000000000142185
24967,Brown rice,$3.99,32oz,https://www.bjs.com/product/success-rice-boil-in-bag-whole-grain-brown-rice-32-oz/3000000000000166577
282970,Spaghetti noodles,$11.99,32oz,https://www.bjs.com/product/barilla-spaghetti-4-ct32-oz/3000000000003441273
282972,Penne noodles,$11.99,32oz,https://www.bjs.com/product/barilla-penne-4-ct32-oz/3000000000003441275
27584,Lettuce,$3.29,12oz,https://www.bjs.com/product/organic-romaine-lettuce-hearts-3-ct/3000000000000174925
26760,Wheat bread,$4.79,20oz,https://www.bjs.com/product/wellsley-farms-wheat-bread-2-pk20-oz/3000000000000171671
26759,White bread,$3.99,20oz,https://www.bjs.com/product/wellsley-farms-white-bread-2-pk20-oz/3000000000000171659
317829,Black Beans,$7.49,4lbs,https://www.bjs.com/product/goya-black-beans-4-lbs/3000000000000221863
201294,Pinto Beans,$7.49,4lbs,https://www.bjs.com/product/goya-pinto-beans-4-lbs/3000000000000216155
60540,Chikpeas,$7.99,15.5oz,https://www.bjs.com/product/goya-chick-peas-8-pk155-oz/3000000000000482612
317802,Kidney Beans,$6.49,4lb,https://www.bjs.com/product/goya-large-red-kidney-beans-4-lb/3000000000000221855
266937,Cane Sugar,$7.79,10lbs,https://www.bjs.com/product/wellsley-farms-premium-pure-cane-granulated-sugar-10-ib/3000000000003020787
71302,Arugula,$2.99,5oz,https://www.bjs.com/product/wellsley-farms-organic-baby-arugula-5-oz/3000000000000553602
282750,Cauliflower,$4.99,2lbs,https://www.bjs.com/product/cauliflower-florets-2-lbs/3000000000003434885
15571,Cabbage,$1.99,1 count,https://www.bjs.com/product/fresh-green-cabbage-1-ct/3000000000000143411
96028,Brussels Sprouts,$4.99,2lbs,https://www.bjs.com/product/wellsley-farms-brussels-sprouts-2-lbs/3000000000000869594
301868,Garlic Cloves,$3.99,1lb,https://www.bjs.com/product/spice-world-fresh-peeled-garlic-cloves-1-lb/3000000000000187173
28871,Green Beans,$5.49,24oz,https://www.bjs.com/product/organic-snipped-green-beans-24-oz/3000000000000182117
96253,Asparagus,$6.99,28oz,https://www.bjs.com/product/wellsley-farms-fresh-asparagus-28-oz/3000000000000869706
316115,Shiitake Mushrooms,$5.49,10oz,https://www.bjs.com/product/monterey-mushrooms-whole-shiitake-mushrooms-10-oz/3000000000004694259
60843,Sliced Mushroms,$3.29,20z,https://www.bjs.com/product/wellsley-farms-sliced-mushrooms-20-oz/3000000000000484170
60844,Whole Mushrooms,$3.69,24oz,https://www.bjs.com/product/wellsley-farms-whole-mushrooms-24-oz/3000000000000484172
247869,Pork Bacon,$16.79,3lbs,https://www.bjs.com/product/oscar-mayer-naturally-hardwood-smoked-bacon-3-ct/3000000000002310751
19634,Turkey Bacon,$15.99,3lbs,https://www.bjs.com/product/oscar-mayer-fully-cooked-smoked-turkey-bacon-4-pk12-oz/3000000000000156811
981052,Pork Ribs,$16.04,5.75lbs,https://www.bjs.com/product/wellsley-farms-fresh-pork-loin-back-ribs--575-8lbs/3000000000001713261
981088,Ground Pork,$11.49,1lb,https://www.bjs.com/product/swift-ground-pork--3-pk1-lb/3000000000000206887
981823,Chicken Thighs,$12.71,4.25lbs,https://www.bjs.com/product/wellsley-farms-no-antibiotics-ever-boneless-skinless-chicken-thighs-425-625-lbs/3000000000000848592
985903,Chicken Drumsticks,$4.58,2lbs,https://www.bjs.com/product/perdue-harvestland-chicken-drumsticks--2-4-lb/3000000000002037307
986194,Chicken wings,$18.79,6.5lbs,https://www.bjs.com/product/wellsley-farms-chicken-wings-65-85-lbs/3000000000002295823
93783,Ground Turkey,$9.99,2.5lbs,https://www.bjs.com/product/farm-to-family-by-butterball-93-lean7-fat-ground-turkey-25-lbs/3000000000000841614
97634,Sweet Corn,$5.49,20oz,https://www.bjs.com/product/wellsley-farms-sweet-corn-20-oz/3000000000000876634
90456,All Purpose Flour,$8.99,12lbs,https://www.bjs.com/product/gold-medal-flour-12-lbs/3000000000000795666
86304,Almonds,$5.99,11.5oz,https://www.bjs.com/product/goodfields-raw-almonds-115-oz/3000000000000699602
136306,Walnuts,$6.99,32oz,https://www.bjs.com/product/wellsley-farms-shelled-walnuts-32-oz/3000000000001095086
30950,Peanuts,$6.49,35oz,https://www.bjs.com/product/planters-unsalted-dry-roasted-peanuts-35-oz/3000000000000193321
208231,Cashews,$16.99,42oz,https://www.bjs.com/product/wellsley-farms-whole-fancy-unsalted-roasted-cashews-42-oz/3000000000001534263
308833,Pecans,$5.99,11oz,https://www.bjs.com/product/wellsley-farms-praline-pecans-11-oz/3000000000004452757
